observed_at,probe,url,asn,asn_registry_holder,cloudflare_as_organization,cloudflare_country,http_protocol,tls_version,user_agent,accept,accept_language,sec_fetch_mode,sec_fetch_dest,sec_fetch_site,sec_fetch_user,sec_ch_ua,signature_agent,client_ip_vendor_lists,client_ip,owner_network,header_names
2026-09-03T05:03:57.800Z,grok-second-run,https://gkoreli.com/probe/grok-second-run,3257,GTT-BACKBONE GTT Communications Inc.,Web2Objects LLC,US,HTTP/2,TLSv1.3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15","text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8","en-US,en;q=0.9",navigate,document,none,,,,,,false,accept;accept-encoding;accept-language;priority;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;user-agent
2026-09-03T05:03:58.234Z,grok-second-run,https://gkoreli.com/probe/grok-second-run,212238,CDNEXT Datacamp Limited,GTT - EMEA Ltd.,MX,HTTP/2,TLSv1.3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9","en-US,en;q=0.9",navigate,document,none,,"""Chromium"";v=""143"", ""Google Chrome"";v=""143"", ""Not_A Brand"";v=""99""",,,,false,accept;accept-encoding;accept-language;priority;sec-ch-ua;sec-ch-ua-mobile;sec-ch-ua-platform;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;user-agent
2026-09-03T05:03:58.476Z,grok-second-run,https://gkoreli.com/probe/grok-second-run,52361,AS52361 - ARSAT - Empresa Argentina de Soluciones Satelitales S.A.,ORTIZ MARIA MARGARITA,AR,HTTP/2,TLSv1.3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15","text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8","en-US,en;q=0.9",navigate,document,none,,,,,,false,accept;accept-encoding;accept-language;priority;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;user-agent
2026-09-03T05:03:58.673Z,grok-second-run,https://gkoreli.com/probe/grok-second-run,268249,AS268249 - DESTAK NET LTDA,DESTAK NET LTDA,BR,HTTP/2,TLSv1.3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9","en-US,en;q=0.9",navigate,document,none,,"""Chromium"";v=""143"", ""Google Chrome"";v=""143"", ""Not_A Brand"";v=""99""",,,,false,accept;accept-encoding;accept-language;priority;sec-ch-ua;sec-ch-ua-mobile;sec-ch-ua-platform;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;user-agent
2026-09-03T05:03:59.095Z,grok-second-run,https://gkoreli.com/probe/grok-second-run,28573,AS28573 - Claro NXT Telecomunicacoes Ltda,Claro NXT Telecomunicacoes Ltda,BR,HTTP/2,TLSv1.3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15","text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8","en-US,en;q=0.9",navigate,document,none,,,,,,false,accept;accept-encoding;accept-language;priority;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;user-agent
2026-09-03T05:03:59.356Z,grok-second-run,https://gkoreli.com/probe/grok-second-run,55286,SERVER-MANIA - B2 Net Solutions Inc.,B2 Net Solutions Inc.,US,HTTP/2,TLSv1.3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9","en-US,en;q=0.9",navigate,document,none,,"""Chromium"";v=""142"", ""Google Chrome"";v=""142"", ""Not_A Brand"";v=""99""",,,,false,accept;accept-encoding;accept-language;priority;sec-ch-ua;sec-ch-ua-mobile;sec-ch-ua-platform;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;user-agent
2026-09-03T05:04:01.904Z,grok-second-run,https://gkoreli.com/probe/grok-second-run,11798,"ACEDATACENTERS-AS-1 - Ace Data Centers, Inc.",Metronet,US,HTTP/2,TLSv1.3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15","text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8","en-US,en;q=0.9",navigate,document,none,,,,,,false,accept;accept-encoding;accept-language;priority;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;user-agent
2026-09-03T05:04:03.695Z,grok-second-run,https://gkoreli.com/probe/grok-second-run,209709,code200-ISP1 UAB code200,Zappie Host LLC,FR,HTTP/2,TLSv1.3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9","en-US,en;q=0.9",navigate,document,none,,"""Chromium"";v=""142"", ""Google Chrome"";v=""142"", ""Not_A Brand"";v=""99""",,,,false,accept;accept-encoding;accept-language;priority;sec-ch-ua;sec-ch-ua-mobile;sec-ch-ua-platform;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;user-agent
2026-09-03T05:04:19.237Z,grok-second-run,https://gkoreli.com/probe/grok-second-run,62887,"WHITESKY-COMMUNICATIONS - WhiteSky Communications, LLC.","WhiteSky Communications, LLC.",US,HTTP/3,TLSv1.3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","en-US,en;q=0.9,ka;q=0.8,ru;q=0.7",navigate,document,cross-site,?1,"""Chromium"";v=""152"", ""Not?A_Brand"";v=""24"", ""Google Chrome"";v=""152""",,,,true,accept;accept-encoding;accept-language;priority;sec-ch-ua;sec-ch-ua-mobile;sec-ch-ua-platform;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;sec-fetch-user;upgrade-insecure-requests;user-agent
2026-09-03T05:15:59.268Z,codex%2Dsearch,https://gkoreli.com/does-llms-txt-work?probe=codex%2Dsearch,14618,"AMAZON-AES - Amazon.com, Inc.",Amazon Data Services Northern Virginia,US,HTTP/1.1,TLSv1.2,Mozilla/5.0 (compatible),*/*,,,,,,,,,,false,accept;accept-encoding;baggage;range;traceparent;user-agent
2026-09-03T05:22:17.944Z,chatgpt-mobile,https://gkoreli.com/probe/chatgpt-mobile,8075,MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation,Microsoft Limited,US,HTTP/2,TLSv1.3,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko); compatible; ChatGPT-User/1.0; +https://openai.com/bot","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9","en-US,en;q=0.9",,,,,,,chatgpt-user.json,9.129.45.183,false,accept;accept-encoding;accept-language;user-agent;x-envoy-expected-rq-timeout-ms;x-request-id
2026-09-03T05:22:58.902Z,grok-mobile,https://gkoreli.com/probe/grok-mobile,396982,GOOGLE-CLOUD-PLATFORM - Google LLC,Google LLC,US,HTTP/2,TLSv1.3,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","en-US,en;q=0.9",navigate,document,none,?1,"""Chromium"";v=""148"", ""Google Chrome"";v=""148"", ""Not/A)Brand"";v=""99""",,,,false,accept;accept-encoding;accept-language;priority;sec-ch-ua;sec-ch-ua-mobile;sec-ch-ua-platform;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;sec-fetch-user;upgrade-insecure-requests;user-agent
2026-09-03T05:28:55.654Z,grok-mobile,https://gkoreli.com/probe/grok-mobile,396982,GOOGLE-CLOUD-PLATFORM - Google LLC,Google LLC,US,HTTP/3,TLSv1.3,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","en-US,en;q=0.9",navigate,document,none,?1,"""Chromium"";v=""148"", ""Google Chrome"";v=""148"", ""Not/A)Brand"";v=""99""",,,,false,accept;accept-encoding;accept-language;priority;sec-ch-ua;sec-ch-ua-mobile;sec-ch-ua-platform;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;sec-fetch-user;upgrade-insecure-requests;user-agent
2026-09-03T05:29:01.327Z,grok-mobile,https://gkoreli.com/probe/grok-mobile,396982,GOOGLE-CLOUD-PLATFORM - Google LLC,Google LLC,US,HTTP/3,TLSv1.3,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","en-US,en;q=0.9",navigate,document,none,?1,"""Chromium"";v=""148"", ""Google Chrome"";v=""148"", ""Not/A)Brand"";v=""99""",,,,false,accept;accept-encoding;accept-language;priority;sec-ch-ua;sec-ch-ua-mobile;sec-ch-ua-platform;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;sec-fetch-user;upgrade-insecure-requests;user-agent
2026-09-03T05:29:20.861Z,grok-mobile,https://gkoreli.com/probe/grok-mobile,396982,GOOGLE-CLOUD-PLATFORM - Google LLC,Google LLC,US,HTTP/2,TLSv1.3,Mozilla/5.0,*/*,,,,,,,,,,false,accept;accept-encoding;user-agent
2026-09-03T05:29:53.065Z,grok-web-loggedin,https://gkoreli.com/probe/grok-web-loggedin,396982,GOOGLE-CLOUD-PLATFORM - Google LLC,Google LLC,US,HTTP/2,TLSv1.3,Mozilla/5.0,*/*,,,,,,,,,,false,accept;accept-encoding;user-agent
2026-09-03T05:29:53.528Z,grok-web-loggedin,https://gkoreli.com/probe/grok-web-loggedin,62887,"WHITESKY-COMMUNICATIONS - WhiteSky Communications, LLC.","WhiteSky Communications, LLC.",US,HTTP/3,TLSv1.3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","en-US,en;q=0.9,ka;q=0.8,ru;q=0.7",navigate,document,cross-site,?1,"""Chromium"";v=""152"", ""Not?A_Brand"";v=""24"", ""Google Chrome"";v=""152""",,,,true,accept;accept-encoding;accept-language;priority;sec-ch-ua;sec-ch-ua-mobile;sec-ch-ua-platform;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;sec-fetch-user;upgrade-insecure-requests;user-agent
2026-09-03T05:30:00.622Z,grok-web-loggedin,https://gkoreli.com/probe/grok-web-loggedin,396982,GOOGLE-CLOUD-PLATFORM - Google LLC,Google LLC,US,HTTP/2,TLSv1.3,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","en-US,en;q=0.9",navigate,document,none,?1,"""Chromium"";v=""148"", ""Google Chrome"";v=""148"", ""Not/A)Brand"";v=""99""",,,,false,accept;accept-encoding;accept-language;priority;sec-ch-ua;sec-ch-ua-mobile;sec-ch-ua-platform;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;sec-fetch-user;upgrade-insecure-requests;user-agent
2026-09-03T06:13:04.135Z,deploy-check,https://gkoreli.com/which-ai-fetchers-send-which-headers?probe=deploy-check,62887,"WHITESKY-COMMUNICATIONS - WhiteSky Communications, LLC.","WhiteSky Communications, LLC.",US,HTTP/2,TLSv1.3,ProbeCheck/1.0,"text/markdown, text/html;q=0.9",,,,,,,,,,true,accept;accept-encoding;user-agent
2026-09-03T06:29:44.914Z,duckai-goga,https://gkoreli.com/which-ai-fetchers-send-which-headers?probe=duckai-goga,8075,MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation,Microsoft Corporation,US,HTTP/2,TLSv1.3,DuckAssistBot/1.2; (+http://duckduckgo.com/duckassistbot.html),*/*,,,,,,,"""https://assistbot.duckduckgo.com""",duckassistbot.json,20.3.1.178,false,accept;accept-encoding;signature;signature-agent;signature-input;user-agent
